"100","200","300","400","500","1000","2000","5000"
"1",1,1,1,1,1,1,1,1
"0.8",1,1,1,1,1,1,1,1
"0.6",1,1,1,1,1,1,1,1
"0.4",0.998,1,1,1,1,1,1,1
"0.2",0.447,0.955,0.998,1,1,1,1,1
"0.1",0.036,0.199,0.423,0.619,0.795,1,1,1
"0",0,0.002,0,0,0,0,0,0.002
