"","l","h","t"
"1",-0.921859193912971,1.69703519940121,0.00499999999999901
"1",-2.06336437212542,1.30960644215558,0.00500000000000256
"1",-0.789947442121197,5.39549257791792,0.00500000000000256
"1",-4.61512592731593,2.51657798739683,0.00499999999999901
"1",-0.208936227325092,3.1541514713798,0.00799999999999912
"1",-3.46219774971113,-0.0518601824598058,0.00600000000000023
"1",-1.42894602234876,5.59659545793701,0.00499999999999901
"1",-1.04616206684712,1.87400149930287,0.00499999999999901
"1",-3.94100343808095,1.94385252723072,0.00600000000000023
"1",-1.19483167088698,1.66709544299902,0.00600000000000023
"1",-0.446418086891959,5.65527079260916,0.00700000000000145
"1",-2.65494599822548,3.96997453878497,0.0209999999999972
"1",-4.02572633071506,2.54499284848945,0.00499999999999901
"1",3.79210711191121,7.51905637324836,0.00600000000000023
"1",1.16575645441977,3.53713463327383,0.00500000000000256
"1",0.449103846494746,6.90878812281938,0.00600000000000023
"1",-3.01843153407103,3.36559139994755,0.00600000000000023
"1",-3.50361732071411,3.19203156883788,0.0109999999999992
"1",-1.98246023404345,1.33861454405573,0.0069999999999979
"1",-3.76488686494117,2.42285447089377,0.00600000000000023
"1",-5.37339850209982,-2.15093675216217,0.00499999999999901
"1",-1.29975800696604,2.23699063368712,0.00700000000000145
"1",-0.958130014039392,1.98853254602218,0.00700000000000145
"1",-1.41395318178522,2.31220786453737,0.00599999999999845
"1",-1.42159776867442,5.67998280225768,0.00599999999999845
"1",-4.10293953200347,-0.0272063426003173,0.00900000000000034
"1",-1.9880380265374,4.3558914387319,0.0080000000000009
"1",-4.0015169210731,2.59157894023254,0.00600000000000023
"1",-4.55556315186149,2.71876025513469,0.00600000000000023
"1",-3.64128468545284,0.684139959387467,0.00499999999999901
"1",-1.85953999180753,2.81993479682791,0.00500000000000078
"1",-2.43104717462291,1.4628611281848,0.00600000000000023
"1",-2.94613033606223,4.35153296389678,0.00500000000000078
"1",-1.52638620954157,3.12132813859201,0.00499999999999901
"1",-3.58967266931645,2.8583537741157,0.0080000000000009
"1",-5.20363768189648,2.16584258248724,0.00599999999999845
"1",-1.30396018320551,4.00599527129499,0.00600000000000023
"1",-2.87471289789924,3.8955723871052,0.00600000000000023
"1",-1.28215632821961,5.9252966960697,0.00600000000000023
"1",-0.931002626322121,2.55826677992565,0.0080000000000009
"1",-4.22515648858637,3.07721265795517,0.00500000000000078
"1",-1.72558491314647,2.40103014188056,0.00500000000000078
"1",-1.07027691732014,2.2934424641087,0.00799999999999912
"1",-2.90857042447432,4.39334759158486,0.0080000000000009
"1",-3.43338192996183,3.8689828270836,0.00600000000000023
"1",-0.682622326980483,6.09708631779782,0.00600000000000023
"1",-3.96037811173036,2.48956997125005,0.00600000000000023
"1",-2.02858875759047,2.87748490015116,0.00500000000000078
"1",-3.40638687407596,3.29519384649493,0.00499999999999901
"1",-0.80968511819532,2.4430125467147,0.00500000000000078
"1",-4.81719942210574,2.42345231660382,0.00499999999999901
"1",-2.08705926983392,4.84200064359297,0.00600000000000023
