"","V1","V2","V3"
"CI",-10,10,3.092
"CI",-10,10,3.098
"CI",-10,10,3.072
"CI",-10,10,3.134
"CI",-10,10,60.679
"CI",-10,10,3.295
"CI",-10,10,3.116
"CI",-10,10,3.076
"CI",-10,10,3.127
"CI",-10,10,3.031
"CI",-10,10,2.559
"CI",-10,10,2.666
"CI",-10,10,2.785
"CI",-10,10,3.072
"CI",-10,10,2.875
"CI",-10,10,2.659
"CI",-10,10,2.811
"CI",-10,10,3.106
"CI",-10,10,2.823
"CI",-10,10,2.888
"CI",-10,10,3.209
"CI",-10,10,2.798
"CI",-10,10,3.1
"CI",1.9530203444777,2.63401639950257,370.25
"CI",0,0,84.086
"CI",-10,10,3.112
"CI",-10,10,2.894
"CI",-10,10,3.148
"CI",-10,10,2.831
"CI",-10,10,3.131
"CI",-10,10,2.932
"CI",-10,10,2.928
"CI",-10,10,19.052
"CI",-10,10,2.897
"CI",-10,10,2.832
"CI",-10,10,2.894
"CI",-10,10,3.134
"CI",-10,10,3.083
"CI",-10,10,3.151
"CI",-10,10,2.955
"CI",-10,10,2.84
"CI",-10,10,3.217
"CI",-10,10,2.647
"CI",0,0,22.119
"CI",-10,10,2.844
"CI",0,0,102.786
"CI",-10,10,3.19
"CI",-0.994282080078125,10,172.504
"CI",-0.965660163420826,10,366.083
"CI",-10,10,3.139
"CI",-10,10,3.08
"CI",-10,10,2.599
"CI",-10,10,3.039
"CI",-10,10,2.638
"CI",-10,10,2.855
"CI",-10,10,3.034
"CI",-10,10,2.879
"CI",-10,10,2.982
"CI",-10,10,2.826
"CI",-10,10,2.847
"CI",-10,10,2.825
"CI",-10,10,2.896
"CI",-10,10,2.615
"CI",-10,10,2.645
"CI",-10,10,3.04
"CI",-10,10,2.649
"CI",-10,10,2.881
"CI",-10,10,2.809
"CI",-10,10,2.653
"CI",-10,10,3.095
"CI",-10,10,3.151
"CI",-10,10,3.105
"CI",-10,10,2.797
"CI",-10,10,2.883
"CI",-10,10,2.564
"CI",-10,10,2.926
"CI",-10,10,2.502
"CI",-10,10,3.217
"CI",-10,10,2.794
"CI",-10,10,2.576
"CI",-10,10,2.905
"CI",-10,10,3.832
"CI",-10,10,3.147
"CI",-10,10,3.141
"CI",-10,10,2.663
"CI",-10,10,3.009
"CI",-10,10,2.97
"CI",-10,10,2.937
"CI",-10,10,2.731
"CI",-10,10,3.116
"CI",-10,10,2.717
"CI",-10,10,139.437
"CI",-10,10,2.994
"CI",-10,10,2.821
"CI",-10,10,2.801
"CI",-10,10,2.829
"CI",-10,10,18.706
"CI",-10,10,3.075
"CI",-10,10,2.954
"CI",-10,10,2.996
"CI",-10,10,2.992
"CI",-10,10,50.316
"CI",-10,10,2.591
"CI",-10,10,2.971
"CI",-10,10,2.558
"CI",0,0,103.653
"CI",-10,10,2.528
"CI",-10,10,3.077
"CI",0,0,26.102
"CI",-10,10,3.035
"CI",-10,10,3.136
"CI",-10,10,2.862
"CI",-10,10,3.011
"CI",-10,10,2.92
"CI",-10,10,3.055
"CI",-10,10,2.935
"CI",-10,10,2.984
"CI",-10,10,2.756
"CI",-10,10,16.15
"CI",-10,10,3.066
"CI",-10,10,3.033
"CI",-10,10,3.047
"CI",-10,10,2.993
"CI",-10,10,2.806
"CI",-10,10,2.132
"CI",-10,10,2.076
"CI",-10,10,2.019
"CI",-10,5.61131827368735,62.513
"CI",-10,10,2.111
"CI",-10,10,41.624
"CI",-10,10,2.057
"CI",-10,10,2.083
"CI",-10,10,2.088
"CI",-10,10,2.091
"CI",-10,10,2.104
"CI",0,0,33.003
"CI",-10,10,2.115
"CI",-10,10,2.112
"CI",-10,10,2.186
"CI",-10,10,2.189
"CI",-10,10,2.081
"CI",-10,10,2.053
"CI",-10,10,2.054
"CI",-10,10,2.098
"CI",-10,10,2.077
"CI",-10,10,69.945
"CI",-10,10,2.092
"CI",-10,10,2.107
"CI",-10,10,2.052
"CI",-10,10,2.084
"CI",-10,10,2.096
"CI",-10,10,2.08
"CI",-10,10,2.083
"CI",-10,10,2.091
"CI",-10,10,2.119
"CI",-10,10,2.072
"CI",-10,10,2.119
"CI",-10,10,2.073
"CI",-10,10,2.106
"CI",-10,10,2.148
"CI",-10,10,2.103
"CI",-10,10,2.055
"CI",-10,10,2.1
"CI",-10,10,2.108
"CI",-10,10,2.07
"CI",-10,10,2.239
"CI",-10,10,2.101
"CI",-10,10,2.054
"CI",-10,10,2.124
"CI",-10,10,2.11
"CI",-10,10,2.118
"CI",-10,10,2.388
"CI",-10,10,2.08
"CI",-10,10,2.101
"CI",-10,10,2.105
"CI",-10,10,2.123
"CI",-10,10,2.071
"CI",-10,10,2.117
"CI",-10,10,2.111
"CI",-10,10,2.084
"CI",-10,10,2.14
"CI",-2.45019260570824,10,221.518
"CI",-10,10,2.087
"CI",-10,10,2.129
"CI",-10,10,2.095
"CI",-3.39073760574939,10,77.991
"CI",-10,10,2.107
"CI",-10,10,2.137
"CI",-10,10,2.134
"CI",-10,10,2.083
"CI",-10,10,2.121
"CI",-10,10,2.126
"CI",-10,10,2.173
"CI",-10,10,2.093
"CI",-10,10,2.122
"CI",-10,10,2.134
"CI",-10,10,2.128
"CI",-10,10,2.133
"CI",-10,10,2.141
"CI",-10,10,2.142
"CI",-10,10,2.125
"CI",-10,10,2.15
"CI",-10,10,21.779
"CI",-10,10,2.216
"CI",-10,10,2.106
"CI",-10,10,2.145
"CI",-10,10,2.099
"CI",-10,10,2.136
"CI",-10,10,2.096
"CI",-10,10,2.189
"CI",-10,10,2.11
"CI",-10,10,2.147
"CI",-10,10,2.104
"CI",-10,10,2.164
"CI",-10,10,2.198
"CI",-10,10,2.125
"CI",-10,10,2.104
"CI",-10,10,2.189
"CI",-10,10,2.17
"CI",-10,10,2.138
"CI",-10,10,2.159
"CI",-10,10,2.149
"CI",-10,10,2.215
"CI",-10,10,2.183
"CI",-10,10,2.135
"CI",-10,10,2.189
"CI",-10,10,2.086
"CI",-10,10,2.176
"CI",-10,10,2.121
"CI",-10,10,2.18
"CI",-10,10,2.141
"CI",-10,10,2.151
"CI",-10,10,2.149
"CI",-10,10,2.128
"CI",-10,10,1.763
"CI",-10,10,1.786
"CI",-10,10,1.754
"CI",-10,10,1.759
"CI",-10,10,1.775
"CI",-10,10,1.835
"CI",-10,10,1.785
"CI",-10,10,21.036
"CI",0,0,48.739
"CI",-10,10,1.749
"CI",-10,10,1.775
"CI",-10,10,1.779
"CI",-10,10,1.732
"CI",-10,10,1.753
"CI",0.638375534932983,10,192.111
"CI",-10,10,1.709
"CI",-10,10,3.425
"CI",-4.99999999989953e-05,10,83.703
"CI",-10,10,3.617
"CI",-10,10,3.107
"CI",-10,10,3.522
"CI",-10,10,3.463
"CI",-10,10,3.474
"CI",-10,10,3.262
"CI",-10,10,3.579
"CI",-10,10,3.452
"CI",-10,10,3.418
"CI",-10,10,3.44
"CI",-10,10,3.444
"CI",-10,10,3.134
"CI",-10,10,3.377
"CI",-10,10,3.345
"CI",-10,10,3.363
"CI",-10,10,3.639
"CI",-10,10,3.466
"CI",-10,10,3.728
"CI",-10,10,3.255
"CI",-1.000075,10,102.382
"CI",-10,10,3.174
"CI",-10,10,3.054
"CI",-10,10,3.437
"CI",-10,10,2.612
"CI",-10,10,3.574
"CI",-10,10,3.809
"CI",-10,10,2.556
"CI",-10,10,2.657
"CI",-10,10,3.005
"CI",-10,10,3.526
"CI",-10,10,3.352
"CI",-10,10,3.018
"CI",-10,10,2.617
"CI",-10,10,3.456
"CI",-10,10,3.392
"CI",-10,10,3.558
"CI",-10,10,2.542
"CI",-10,10,3.154
"CI",-10,10,3.25
"CI",0,0,33.713
"CI",-10,10,3.579
"CI",-10,10,3.364
"CI",-10,10,3.418
"CI",-10,10,3.264
"CI",-10,10,3.341
"CI",0,0,59.919
"CI",-10,10,3.466
"CI",-10,10,3.497
"CI",-10,10,3.464
"CI",-10,10,3.465
"CI",-10,10,3.422
"CI",-10,10,3.166
"CI",-10,10,3.291
"CI",-10,10,2.579
"CI",-10,10,3.409
"CI",-10,10,3.189
"CI",-10,10,3.435
"CI",-10,10,3.447
"CI",-10,10,3.349
"CI",-10,10,3.471
"CI",-10,10,3.119
"CI",-10,10,3.384
"CI",-10,10,2.615
"CI",-10,10,3.121
"CI",-10,10,3.429
"CI",-10,10,3.473
"CI",-10,10,3.224
"CI",-10,10,2.524
"CI",-10,10,32.698
"CI",-10,10,3.462
"CI",-10,10,3.142
"CI",-10,10,3.158
"CI",-10,10,2.52
"CI",-10,10,3.335
"CI",-10,10,2.568
"CI",-10,10,3.364
"CI",-10,10,3.5
"CI",-10,10,3.455
"CI",-10,10,3.43
"CI",-10,10,2.532
"CI",-10,10,2.582
"CI",-10,10,3.25
"CI",-10,10,3.358
"CI",-10,10,2.988
"CI",-10,10,3.122
"CI",-10,10,3.043
"CI",-10,10,3.404
"CI",-10,10,3.461
"CI",-10,10,3.329
"CI",-10,10,3.366
"CI",-10,10,3.426
"CI",-10,10,3.171
"CI",-10,10,3.421
"CI",-10,10,3.416
"CI",-10,10,3.452
"CI",-10,10,3.389
"CI",-10,10,72.535
"CI",-10,10,3.394
"CI",-10,10,3.429
"CI",-10,10,2.716
"CI",-10,10,3.172
"CI",-10,10,3.452
"CI",-10,10,65.095
"CI",-10,10,3.229
"CI",-10,10,3.349
"CI",-10,10,3.242
"CI",-10,10,3.373
"CI",-10,10,3.375
"CI",-10,10,3.094
"CI",-10,10,3.278
"CI",-10,10,3.362
"CI",-10,10,3.425
"CI",-10,10,3.187
"CI",-10,10,3.118
"CI",-10,10,3.444
"CI",-10,10,3.311
"CI",-10,10,3.079
"CI",-10,10,3.37
"CI",-10,10,2.989
"CI",-10,10,47.063
"CI",-10,10,3.29
"CI",-10,10,2.742
"CI",-10,10,2.196
"CI",-10,10,2.612
"CI",-10,10,2.052
"CI",-10,10,2.13
"CI",-10,10,2.142
"CI",-10,10,2.457
"CI",-10,10,2.064
"CI",-10,10,2.092
"CI",-10,10,2.085
"CI",-10,10,2.029
"CI",-10,10,2.057
"CI",-10,10,2.04
"CI",-10,10,2.107
"CI",-10,10,36.096
"CI",-10,10,2.086
"CI",-10,10,47.961
"CI",-10,10,2.022
"CI",-10,10,2.021
"CI",-10,10,2.069
"CI",-10,10,2.07
"CI",-10,10,2.025
"CI",-10,10,2.058
"CI",-10,10,143.084
"CI",0,0,21.771
"CI",-10,10,2.079
"CI",-10,2.15646886041725,188.37
"CI",-10,10,2.097
"CI",-10,10,2.094
"CI",-10,10,2.055
"CI",-10,10,2.041
"CI",-10,10,2.082
"CI",-10,10,2.073
"CI",-10,10,2.06
"CI",-10,10,2.078
"CI",-10,10,2.059
"CI",-10,10,2.057
"CI",-10,10,2.058
"CI",-10,10,49.9
"CI",-10,10,2.043
"CI",-10,10,2.048
"CI",-10,10,2.043
"CI",-10,10,2.518
"CI",-10,10,2.034
"CI",-10,10,2.105
"CI",-10,10,2.069
"CI",-10,10,2.047
"CI",-10,10,2.051
"CI",-10,10,2.03
"CI",-10,10,2.01
"CI",-10,10,2.041
"CI",-10,10,2.057
"CI",-10,10,2.052
"CI",-10,10,2.052
"CI",-10,10,2.044
"CI",-10,10,2.078
"CI",-10,10,2.056
"CI",-10,10,2.034
"CI",-10,10,2.006
"CI",-10,10,2.023
"CI",-10,10,2.045
"CI",-10,10,2.055
"CI",-10,10,2.04
"CI",-10,10,2.055
"CI",-10,10,2.073
"CI",-10,10,2.06
"CI",-10,10,2.12
"CI",-10,10,2.073
"CI",-10,10,2.034
"CI",-10,10,2.056
"CI",-10,10,2.429
"CI",-10,10,2.104
"CI",-10,10,2.094
"CI",-10,10,2.073
"CI",-10,10,2.057
"CI",-10,10,2.101
"CI",-10,10,2.027
"CI",-10,10,2.094
"CI",-10,10,2.059
"CI",-10,10,2.071
"CI",-10,10,2.053
"CI",-10,10,2.09
"CI",-10,10,2.07
"CI",-10,10,2.082
"CI",-10,10,26.086
"CI",-10,10,2.081
"CI",0,0,15.13
"CI",-10,10,2.217
"CI",-10,10,2.08
"CI",-10,10,2.368
"CI",-2.86046990974386,10,133.179
"CI",-10,10,2.102
"CI",-10,10,2.102
"CI",-10,10,2.104
"CI",-10,10,2.084
"CI",-10,10,2.091
"CI",-10,10,2.063
"CI",-10,10,2.072
"CI",-10,10,2.071
"CI",-10,10,2.064
"CI",-10,10,2.054
"CI",-10,10,2.103
"CI",-10,10,2.101
"CI",-10,10,2.065
"CI",-10,10,2.12
"CI",-10,10,37.466
"CI",-10,10,2.039
"CI",-10,10,2.024
"CI",-10,10,24.771
"CI",-10,10,2.082
