"","100","200","500","1000","2000"
"0.1",0.985,0.981,0.995,0.997,0.997
"0.3",0.992,0.994,0.997,0.994,0.997
"1",0.995,0.993,0.997,0.997,0.999
"3",0.997,0.995,0.997,0.997,0.999
"10",0.994,0.997,0.996,0.996,1
