"","V1","V2","V3"
"CI",-10,10,3.65699999999924
"CI",-10,10,3.28299999999945
"CI",-10,10,3.23199999999997
"CI",-10,10,3.3179999999993
"CI",-7.72802734375,10,840.254000000001
"CI",-10,10,3.30099999999948
"CI",-10,10,3.25199999999859
"CI",-10,10,3.34499999999935
"CI",-10,10,3.22299999999996
"CI",-10,10,3.29599999999846
"CI",-10,10,3.29500000000189
"CI",-10,10,3.39000000000306
"CI",-10,10,3.27800000000025
"CI",-10,10,3.3849999999984
"CI",-10,10,3.22899999999936
"CI",-10,10,3.30600000000049
"CI",-10,10,3.24700000000303
"CI",-10,10,3.40300000000025
"CI",-10,10,3.27000000000044
"CI",-10,10,3.26699999999983
"CI",-10,10,3.21199999999953
"CI",-10,10,3.28799999999865
"CI",-10,10,3.38100000000122
"CI",-2.29806483244592,4.10809724425707,1572.521
"CI",5.28973870650615,5.29124684420299,1352.742
"CI",-10,10,3.29700000000048
"CI",-10,10,3.29700000000048
"CI",-10,10,3.25
"CI",-10,10,3.14500000000044
"CI",-10,10,3.45499999999993
"CI",-10,10,3.33400000000074
"CI",-10,10,3.30500000000029
"CI",-10,10,615.477999999999
"CI",-10,10,3.2510000000002
"CI",-10,10,3.39500000000044
"CI",-10,10,3.27300000000105
"CI",-10,10,3.28900000000067
"CI",-10,10,3.41699999999946
"CI",-10,10,3.18499999999949
"CI",-10,10,3.38299999999981
"CI",-10,10,3.23100000000159
"CI",-10,10,3.26299999999901
"CI",-10,10,3.26100000000042
"CI",2.00725728173099,2.00896577842342,1334.239
"CI",-10,10,3.28399999999965
"CI",3.20378721633972,3.20542267818293,1721.183
"CI",-10,10,3.39499999999862
"CI",-1,10,308.824000000001
"CI",-0.96337890625,10,420.070000000002
"CI",-10,10,3.34400000000096
"CI",-10,10,3.1880000000001
"CI",-10,10,3.34399999999914
"CI",-10,10,3.34900000000016
"CI",-10,10,3.17000000000007
"CI",-10,10,3.23099999999977
"CI",-10,10,3.38800000000083
"CI",-10,10,3.32500000000073
"CI",-10,10,3.31099999999788
"CI",-10,10,3.29899999999907
"CI",-10,10,3.29399999999987
"CI",-10,10,3.67999999999847
"CI",-10,10,3.31000000000131
"CI",-10,10,3.38600000000042
"CI",-10,10,3.37800000000061
"CI",-10,10,3.32099999999991
"CI",-10,10,3.30900000000111
"CI",-10,10,3.31600000000071
