"","V1","V2","V3"
"CI",1.19873046875,2.689453125,6905.774
"CI",1.8154296875,3.5224609375,4553.841
"CI",1.313720703125,2.947265625,6630.168
"CI",1.344482421875,3.5595703125,9310.7
"CI",1.38623046875,3.248046875,4794.605
"CI",1.080078125,2.9775390625,6561.527
"CI",1.274169921875,3.0341796875,5459.896
"CI",1.518798828125,3.4091796875,2991.914
"CI",1.45068359375,2.8720703125,4779.578
"CI",1.25,2.9130859375,4948.898
"CI",1.193603515625,3.3310546875,4502.671
"CI",1.956787109375,3.71484375,4763.622
"CI",1.3173828125,3.2587890625,6801.229
"CI",1.200927734375,2.6943359375,4559.232
"CI",1.085205078125,2.615234375,4500.024
"CI",1.14013671875,3.0087890625,8759.549
"CI",1.255859375,3.1689453125,5284.591
"CI",1.041259765625,2.6904296875,4129.56
"CI",1.2822265625,2.8740234375,4681.926
"CI",1.297607421875,2.677734375,2856.777
"CI",1.200927734375,3.314453125,7038.498
"CI",1.5400390625,3.2822265625,5877.991
"CI",1.53125,3.5634765625,5139.551
"CI",1.46533203125,3.3916015625,2311.764
"CI",1.337158203125,3.267578125,3803.963
"CI",1.174560546875,2.935546875,3840.65
"CI",1.5400390625,3.7001953125,7284.913
"CI",1.495361328125,3,4383.304
"CI",1.080810546875,2.53125,5216.516
"CI",1.12255859375,2.681640625,2317.142
"CI",1.530517578125,3.958984375,3597.683
"CI",1.41259765625,3.15625,4112.544
"CI",1.65283203125,3,6828.177
"CI",1.372314453125,2.9951171875,3844.458
"CI",1.343017578125,3.123046875,5826.73
"CI",1.3349609375,2.8701171875,4407.946
"CI",1.482177734375,3.7724609375,5346.492
"CI",1.353271484375,3.6318359375,6067.573
"CI",1.29248046875,3.103515625,5400.623
"CI",1.155517578125,2.927734375,3020.732
"CI",1.344482421875,3.4912109375,2658.482
"CI",1.593505859375,3.791015625,3556.419
"CI",1.3818359375,4.1728515625,6783.821
"CI",1.420654296875,2.974609375,3637.709
"CI",1.533447265625,3.0185546875,4178.421
"CI",1.99510903542797,4.96711157703551,3889.299
"CI",1.15625,2.9951171875,5365.012
"CI",1.3671875,3.3466796875,3412.74
"CI",1.477783203125,3.4658203125,5818.725
"CI",1.139404296875,2.8466796875,6965.838
"CI",1.427978515625,2.837890625,3688.353
"CI",1.6279296875,3.8447265625,3494.48
"CI",1.474853515625,3.3798828125,5329.321
"CI",0.987060546875,2.5703125,7405.301
"CI",1.209716796875,2.8681640625,7303.686
"CI",1.171630859375,2.787109375,4355.516
"CI",1.625,6.4169921875,6097.677
"CI",1.24853515625,2.609375,4647.101
"CI",1.484375,3.560546875,6020.1
"CI",1.36865234375,4.0009765625,6583.592
"CI",1.51513671875,3.3984375,4272.31
"CI",1.671875,4.7216796875,6696.205
"CI",1.344482421875,3.2998046875,6888.407
"CI",1.4609375,3.013671875,3445.028
"CI",1.41552734375,3.4814453125,3922.259
"CI",1.63671875,3.5166015625,7441.074
"CI",1.671875,3.94140625,6009.092
"CI",1.373046875,3.2509765625,5728.644
"CI",1.4638671875,3.2822265625,5965.779
"CI",1.886474609375,3.91015625,8300.619
"CI",1.666015625,4.2919921875,3860.002
"CI",1.026611328125,2.76953125,6797.547
"CI",1.366455078125,2.900390625,4361.078
"CI",1.34521484375,3.4375,8257.157
"CI",1.23681640625,3.0390625,2841.38
"CI",1.5576171875,3.6396484375,7842.972
"CI",1.25732421875,2.3447265625,6409.172
"CI",1.3203125,3.2529296875,6249.092
"CI",1.56640625,3.63671875,3790.186
"CI",1.230224609375,3.1533203125,7573.526
"CI",1.54443359375,3.5009765625,4508.965
"CI",1.353271484375,3.294921875,5708.104
"CI",1.3671875,2.875,3830.445
"CI",1.023681640625,2.6484375,7685.293
"CI",1.263916015625,3.458984375,7272.265
"CI",1.33203125,4.0009765625,6280.546
"CI",1.361328125,3.0029296875,5456.159
"CI",1.25146484375,2.9833984375,4851.662
"CI",1.176025390625,2.578125,5263.8
"CI",1.202392578125,3.2294921875,4305.896
"CI",1.321044921875,2.865234375,4430.465
"CI",1.331298828125,3.9013671875,5787.14
"CI",1.243408203125,3.3349609375,4611.648
"CI",1.302734375,3.7978515625,6068.035
"CI",1.60595703125,4.0498046875,5672.534
"CI",1.384765625,2.99609375,4430.205
"CI",1.694580078125,3.5625,5423.692
"CI",1.12109375,2.716796875,5194.853
"CI",0.95263671875,2.87890625,6950.901
"CI",1.43896484375,3.10546875,6944.235
"CI",1.208984375,2.6923828125,4873.714
"CI",1.43896484375,3.8251953125,5488.455
"CI",1.249267578125,2.9833984375,6493.969
"CI",1.449951171875,3.1083984375,8077.334
"CI",1.2705078125,2.6103515625,6784.422
"CI",1.02294921875,2.619140625,5818.978
"CI",1.022216796875,2.6064453125,2459.357
"CI",1.1650390625,2.7685546875,3744.83
"CI",1.527587890625,3.720703125,2259.128
"CI",1.38623046875,3.5458984375,4266.887
"CI",1.150390625,2.767578125,6982.134
"CI",1.34375,4.265625,6310.258
"CI",1.66455078125,4.6259765625,2973.004
"CI",1.484375,3.6865234375,5865.169
"CI",1.379638671875,3.4404296875,5765.741
"CI",1.3173828125,2.8388671875,3977.139
"CI",1.60009765625,3.8935546875,7185.95
"CI",1.26025390625,3.0166015625,2791.881
"CI",1.357666015625,2.8798828125,3067.112
"CI",1.523193359375,3.7470703125,3561.032
"CI",1.65576171875,4.087890625,3707.482
"CI",1.473388671875,3.11328125,3645.312
"CI",1.401611328125,2.96875,4134.228
"CI",1.539306640625,3.09375,5183.582
"CI",0.99951171875,2.6337890625,2738.046
"CI",1.603759765625,4.0966796875,4395.583
"CI",1.505615234375,3.3662109375,3213.039
"CI",1.2998046875,3.1171875,4322.554
"CI",1.41259765625,3.2978515625,3846.054
"CI",1.53564453125,3.392578125,4975.832
"CI",1.3671875,3.1064453125,5093.518
"CI",1.54443359375,2.84375,3483.583
"CI",1.501220703125,3.880859375,2431.312
"CI",1.531982421875,3.2998046875,2741.002
"CI",1.574462890625,3.4169921875,2763.99
"CI",1.45068359375,3.5009765625,2347.311
"CI",1.36865234375,4.251953125,3962.098
"CI",1.228759765625,2.80078125,2843.96
"CI",1.1474609375,3.015625,2736.556
"CI",1.56640625,3.779296875,2341.313
"CI",1.438232421875,3.4228515625,3276.476
"CI",1.633056640625,4.2509765625,4118.413
"CI",1.794921875,3.388671875,4036.075
"CI",1.548095703125,3.6962890625,2731.848
"CI",1.250732421875,2.818359375,2782.562
"CI",1.303466796875,3.1572265625,2560.659
"CI",1.217041015625,2.876953125,3493.379
"CI",1.231689453125,3.06640625,3235.862
"CI",1.35546875,3.150390625,2812.229
"CI",1.455078125,3.5791015625,2478.362
"CI",1.19580078125,3.1279296875,3610.531
"CI",1.6953125,3.8505859375,3124.033
"CI",1.27197265625,3.01953125,4427.3
"CI",1.2763671875,2.8720703125,2675.721
"CI",1.654296875,3.4326171875,3570.078
"CI",1.0302734375,2.626953125,3710.23
"CI",1.105712890625,3.177734375,3984.36
"CI",1.33349609375,3.0556640625,3736.825
"CI",1.138671875,2.728515625,2561.009
"CI",1.672607421875,3.7685546875,3958.76
"CI",1.575927734375,3.76171875,4065.792
"CI",1.53271484375,3.6171875,2641.341
"CI",1.592041015625,3.0625,3388.1
"CI",1.208251953125,3.634765625,4316.463
"CI",1.34814453125,3.609375,3389.835
"CI",1.819091796875,4.259765625,2739.837
"CI",1.69091796875,4.0009765625,4174.853
"CI",1.25,2.609375,2284.356
"CI",1.11083984375,2.986328125,3308.817
"CI",1.0888671875,2.783203125,2699.121
"CI",1.285888671875,3.005859375,3212.98
"CI",1.401611328125,2.75,2943.437
"CI",1.34521484375,3.3837890625,3335.52
"CI",1.146728515625,2.8798828125,2937.443
"CI",1.080078125,2.5283203125,2638.301
"CI",1.32177734375,2.9775390625,3379.012
"CI",1.542236328125,3.4140625,3852.121
"CI",1.21484375,2.6513671875,2160.838
"CI",1.677734375,3.30859375,2758.658
"CI",1.366455078125,3.130859375,2646.117
"CI",1.527587890625,3.1923828125,4191.675
"CI",1.291015625,2.6845703125,4060.124
"CI",1.205322265625,2.5986328125,2911.693
"CI",1.43017578125,3.134765625,2374.732
"CI",1.488037109375,2.9541015625,3862.91
"CI",0.897705078125,2.337890625,3525.121
"CI",1.066162109375,2.8759765625,3674.74
"CI",1.3671875,3.177734375,2686.775
"CI",1.386962890625,3.021484375,3941.34
"CI",1.061767578125,2.6484375,2758.88
"CI",1.13427734375,2.732421875,4431.86
"CI",1.219970703125,3.0322265625,4037.953
"CI",1.15771484375,3.2509765625,3981.092
"CI",1.6396484375,3.0849609375,4505.394
"CI",1.303466796875,2.8046875,3473.52
"CI",1.25146484375,3.0947265625,3329.773
"CI",1.5048828125,3.3642578125,3185.899
"CI",1.2060546875,3.5869140625,3558.016
"CI",1.8212890625,4.95703125,4574.688
"CI",1.279296875,2.65625,1910.649
"CI",1.061767578125,2.6435546875,5136.299
"CI",1.04052734375,2.84765625,2772.485
"CI",1.291015625,4.1259765625,3861.527
"CI",1.527587890625,3.7421875,4525.762
"CI",1.397216796875,3.953125,4539.54
"CI",1.30126953125,2.9384765625,2552.364
"CI",1.518798828125,3.1708984375,4559.986
"CI",1.337158203125,3.12109375,3761.44
"CI",1.654296875,4.03125,4795.976
"CI",1.338623046875,3.126953125,3083.667
"CI",1.278564453125,2.859375,4367.732
"CI",1.38623046875,3.3212890625,4304.563
"CI",1.36279296875,3.3115234375,3799.193
"CI",1.331298828125,3.501953125,5202.659
"CI",1.863037109375,4.6416015625,6045.236
"CI",0.9951171875,2.6962890625,4199.516
"CI",1.572265625,3.5009765625,3434.92
"CI",1.70703125,3.259765625,4966.551
"CI",1.77001953125,2.5,3953.523
"CI",1.68359375,5.12890625,3626.856
"CI",1.52099609375,3.130859375,2769.654
"CI",1.255859375,3.0947265625,2511.954
"CI",1.431640625,3.5009765625,3162.523
"CI",1.011962890625,2.9150390625,3540.074
"CI",1.51513671875,3.0771484375,5180.125
"CI",1.490234375,4.4033203125,3699.649
"CI",1.293212890625,2.9033203125,2260.174
"CI",2.3194373653133,5.43625265347345,4983.678
"CI",1.5166015625,2.9873046875,3588.142
"CI",1.047119140625,2.6875,2779.063
"CI",1.252197265625,3.0634765625,2939.814
"CI",1.8125,4.3037109375,3831.833
"CI",1.414794921875,3.5009765625,2491.888
"CI",1.165771484375,2.673828125,3180.438
"CI",1.369384765625,3,2569.517
"CI",1.340087890625,3.0078125,3559.402
"CI",1.267578125,3.5341796875,4082.156
"CI",1.1123046875,2.8046875,3303.108
"CI",1.297607421875,3,2749.588
"CI",1.27783203125,3.0791015625,3412.721
"CI",0.825927734375,2.2197265625,3920.113
"CI",1.20166015625,2.875,3596.234
"CI",1.484375,3.001953125,2599.118
"CI",1.55322265625,3.5322265625,3097.716
"CI",1.3876953125,3.296875,3564.126
"CI",1.2177734375,2.7490234375,4251.706
"CI",1.4375,2.7109375,4918.02
"CI",1.196533203125,2.9326171875,3672
"CI",1.433837890625,3.384765625,3056.219
"CI",1.004638671875,2.3955078125,2966.78000000001
"CI",1.906982421875,4.5478515625,4909.015
"CI",1.389892578125,3.1015625,3307.923
"CI",1.139404296875,3.3759765625,4645.083
"CI",1.4697265625,3.0126953125,3349.025
"CI",1.21484375,2.4609375,3902.92400000001
"CI",1.534912109375,3.4111328125,2499.493
"CI",1.574462890625,5.384765625,4507.766
"CI",1.436767578125,3.228515625,3183.292
"CI",1.783203125,3.642578125,3550.892
"CI",1.19140625,3.0322265625,3882.667
"CI",1.388427734375,3.7841796875,4280.305
"CI",1.366455078125,3.0166015625,4075.581
"CI",1.1181640625,2.6142578125,2981.40399999999
