"","l","h","t"
"1",1.64219909775996,2.04332443053053,0.00600000000000023
"1",1.85036047009073,2.41061733700443,0.00600000000000023
"1",1.75379507910029,2.31509624242278,0.00600000000000023
"1",1.71216574714328,2.30401917751853,0.00600000000000023
"1",1.70771083403569,2.19979243274933,0.00600000000000023
"1",1.66844506125056,2.16694441077826,0.00600000000000023
"1",1.64385527068756,2.05423374188431,0.00600000000000023
"1",1.46475946201811,2.00674329502872,0.00600000000000023
"1",1.69250315032037,2.15944371401309,0.00600000000000023
"1",1.66457431707534,2.12417433704434,0.00499999999999545
"1",2.08606183921565,2.69102234609033,0.00499999999999545
"1",1.60962871467101,2.14352178404327,0.00499999999999545
"1",1.75941599487209,2.28872670568963,0.00600000000000023
"1",1.70774016969063,2.22181357645279,0.00600000000000023
"1",1.55062539218725,2.1047117107911,0.00600000000000023
"1",1.51486083391737,1.98088017471369,0.00600000000000023
"1",1.48597333018723,2.00766156901222,0.00600000000000023
"1",1.88241636515132,2.30502935819459,0.0069999999999979
"1",1.7442473578861,2.36725256111969,0.00600000000000023
"1",1.88338525813162,2.36919600195803,0.00600000000000023
"1",1.73522343080652,2.27061666357279,0.0100000000000016
"1",1.81965308538005,2.37342419179618,0.00800000000000267
"1",1.76738973246392,2.33072208601144,0.00600000000000023
"1",1.70077908323186,2.19481929869435,0.00899999999999679
"1",1.49658184344903,2.02925775879965,0.00500000000000256
"1",1.81706048678721,2.31878121650009,0.00799999999999912
"1",1.83326705841219,2.47049229870274,0.0150000000000006
"1",1.8360631833378,2.2453052975984,0.00600000000000023
"1",1.59683464906667,2.12871463377485,0.00600000000000023
"1",1.70126832322835,2.19884318131229,0.00799999999999912
"1",1.59834791861635,2.05189373542438,0.00600000000000023
"1",1.66381103427621,2.19422646741088,0.00600000000000023
"1",1.68464550718293,2.2408510550404,0.00799999999999912
"1",1.70798057875107,2.17208904649986,0.00900000000000034
"1",1.52324410056972,2.02613296227162,0.00600000000000023
"1",1.79206131136973,2.29577750165225,0.0100000000000016
"1",1.78843113126677,2.33946504749362,0.0590000000000011
"1",1.77135972066528,2.29537924106089,0.00799999999999912
"1",1.69801245521417,2.15945864216014,0.0410000000000004
"1",1.94303340418334,2.63648997975133,0.00600000000000023
"1",1.73828223239727,2.26049612120369,0.00700000000000145
"1",1.7550904091945,2.19899877278608,0.0100000000000016
"1",1.68408556086847,2.16268108613227,0.00700000000000145
"1",1.71521544954581,2.26766543057392,0.00799999999999912
"1",1.54853253297171,2.05755978891053,0.00799999999999912
"1",1.7869837313528,2.38837575877425,0.00600000000000023
"1",1.81833046938398,2.36549180314226,0.0510000000000019
"1",1.55633911086528,2.03913568041923,0.00600000000000023
"1",1.72412330970115,2.20645359603241,0.00800000000000267
"1",1.60520168673891,2.12058967313012,0.00799999999999912
"1",1.72175769695302,2.14270860316296,0.00900000000000034
"1",1.84010420949495,2.36341163535002,0.0409999999999968
"1",1.55286978101254,1.94037740343528,0.00799999999999912
"1",1.63456387405414,2.12935630453003,0.0389999999999979
"1",1.78874890243283,2.33977339320124,0.00799999999999912
"1",1.75085009657551,2.32196281287559,0.00600000000000023
"1",1.62940772839709,2.15772135592808,0.00900000000000034
"1",1.62305145155822,2.16970513637976,0.00799999999999912
"1",1.59365708307851,2.08431688097338,0.00600000000000023
"1",1.59117822090243,2.1085180501356,0.00599999999999667
"1",1.82051547776464,2.35790409512016,0.00700000000000145
"1",1.5445028543135,1.99315441507567,0.00600000000000023
"1",1.76250822036004,2.21631362942381,0.0100000000000016
"1",1.69594082999119,2.20146801419698,0.00900000000000034
"1",1.6316327576531,2.06639551175186,0.00900000000000034
