"","V1","V2","V3"
"CI",1.49609375,2.3720703125,6907.301
"CI",1.624267578125,2.4306640625,6868.333
"CI",1.785400390625,2.6796875,5759.382
"CI",1.471923828125,2.2734375,4408.737
"CI",1.726806640625,2.4921875,4886.039
"CI",1.677734375,2.46875,5015.357
"CI",1.653564453125,2.4482421875,6299.328
"CI",1.677001953125,2.53125,5222.32
"CI",1.732666015625,2.4814453125,6281.439
"CI",1.741455078125,2.6064453125,5287.796
"CI",1.816162109375,2.59375,5703.199
"CI",1.512939453125,2.3427734375,5421.44
"CI",1.89453125,2.822265625,6129.693
"CI",1.530517578125,2.2705078125,5073.097
"CI",1.75830078125,2.529296875,6701.966
"CI",1.887939453125,2.73828125,8113.083
"CI",1.95458984375,3.0009765625,9227.408
"CI",1.827880859375,2.5576171875,8425.661
"CI",1.63671875,2.5234375,6995.321
"CI",1.578125,2.4541015625,6125.153
"CI",1.67919921875,2.5322265625,5642.083
"CI",1.575927734375,2.37109375,7749.689
"CI",1.763427734375,2.49609375,7479.814
"CI",1.618408203125,2.4326171875,6052.714
"CI",1.7802734375,2.560546875,6026.158
"CI",1.4873046875,2.333984375,5977.168
"CI",1.771484375,2.5185546875,6473.086
"CI",1.631591796875,2.3720703125,6347.276
"CI",1.571533203125,2.3349609375,8227.86
"CI",1.444091796875,2.1962890625,7342.382
"CI",1.689453125,2.5205078125,6842.508
"CI",1.505615234375,2.2861328125,5547.788
"CI",1.595703125,2.3515625,7481.772
"CI",1.67919921875,2.4814453125,4134.934
"CI",1.71875,2.474609375,6065.264
"CI",1.668212890625,2.4384765625,6227.608
"CI",1.5107421875,2.2373046875,7939.494
"CI",1.6689453125,2.5634765625,8424.777
"CI",1.637451171875,2.3193359375,7369.702
"CI",1.769287109375,2.69140625,5881.423
"CI",1.618408203125,2.376953125,6206.371
"CI",1.662353515625,2.5068359375,6865.611
"CI",1.701171875,2.5419921875,6749.43
"CI",1.612548828125,2.40234375,6303.165
"CI",1.625,2.265625,4400.398
"CI",1.48876953125,2.3134765625,5925.291
"CI",1.5341796875,2.279296875,4778.492
"CI",1.66162109375,2.396484375,4434.693
"CI",1.72607421875,2.4990234375,4852.38
"CI",1.830810546875,2.5458984375,8048.376
"CI",1.458740234375,2.2880859375,3830.26
"CI",1.78759765625,2.6376953125,5866.105
"CI",1.531982421875,2.2998046875,6210.658
"CI",1.741455078125,2.5908203125,5272.546
"CI",1.592041015625,2.3515625,5971.154
"CI",1.607421875,2.36328125,4630.309
"CI",1.72900390625,2.44921875,6325.021
"CI",1.5927734375,2.2490234375,5400.289
"CI",1.560546875,2.2470703125,6314.297
"CI",1.811767578125,2.6259765625,6298.811
"CI",1.54296875,2.234375,7530.452
"CI",1.447021484375,2.2529296875,6614.45
"CI",1.524658203125,2.2978515625,5490.928
"CI",1.996337890625,2.87109375,8666.923
"CI",1.677001953125,2.396484375,5151.453
"CI",1.63232421875,2.375,8065.923
"CI",1.671875,2.4970703125,6175.036
"CI",1.533447265625,2.337890625,4771.521
"CI",1.8359375,2.7607421875,6045.949
"CI",1.488037109375,2.24609375,9284.807
"CI",1.766357421875,2.5126953125,6958.972
"CI",1.701904296875,2.421875,6624.867
"CI",1.97802734375,2.83203125,6764.254
"CI",1.64697265625,2.3818359375,6643.402
"CI",1.493896484375,2.2646484375,6946.293
"CI",1.7333984375,2.529296875,5872.919
"CI",1.6455078125,2.4326171875,6185.193
"CI",1.571533203125,2.4365234375,4889.361
"CI",1.56787109375,2.3173828125,7248.135
"CI",1.86962890625,2.7333984375,9190.894
"CI",1.58544921875,2.4228515625,6366.572
"CI",1.7568359375,2.625,6517.899
"CI",1.693115234375,2.517578125,8832.355
"CI",1.6923828125,2.5625,7663.854
"CI",1.646240234375,2.3115234375,7716.161
"CI",1.61328125,2.37890625,6928.773
"CI",1.710693359375,2.6103515625,5874.894
"CI",1.652099609375,2.4287109375,6081.721
"CI",1.552490234375,2.365234375,7033.394
"CI",1.912841796875,2.5341796875,6572.225
"CI",1.625,2.3076171875,3560.96
"CI",1.53125,2.3125,5837.658
"CI",1.351806640625,2.154296875,5945.129
"CI",1.644775390625,2.38671875,4557.387
"CI",1.514404296875,2.3603515625,7509.005
"CI",1.4375,2.0712890625,6395.265
"CI",1.52392578125,2.2763671875,7244.956
"CI",1.58544921875,2.283203125,9532.24
"CI",1.5546875,2.2978515625,7757.056
"CI",1.464599609375,2.2177734375,8177.027
"CI",1.54296875,2.302734375,5910.999
"CI",1.701904296875,2.2333984375,7594.284
"CI",1.753173828125,2.6201171875,5642.834
"CI",1.92822265625,2.685546875,4220.351
"CI",1.83154296875,2.69140625,8562.779
"CI",1.677001953125,2.4794921875,4813.398
"CI",1.9765625,2.7265625,6681.731
"CI",1.484375,2.1875,5492.674
"CI",1.520263671875,2.2841796875,3872.684
"CI",1.800048828125,2.626953125,6210.348
"CI",1.759033203125,2.5830078125,5491.04
"CI",1.583251953125,2.392578125,7814.21
"CI",1.49462890625,2.3447265625,7680.492
"CI",1.5341796875,2.14453125,5010.113
"CI",1.770751953125,2.6220703125,6828.024
"CI",1.6337890625,2.3759765625,5685.261
"CI",1.759765625,2.521484375,5222.022
"CI",1.994140625,2.7529296875,8628.857
"CI",1.627197265625,2.41015625,6827.536
"CI",1.583251953125,2.3994140625,6012.558
"CI",1.7802734375,2.63671875,6474.559
"CI",1.56201171875,2.2509765625,7295.709
"CI",1.9736328125,2.7890625,5413.906
"CI",1.581787109375,2.25,4486.059
"CI",1.782470703125,2.669921875,5767.869
"CI",1.518798828125,2.3056640625,5123.789
"CI",1.65869140625,2.375,6712.655
"CI",1.677001953125,2.4794921875,5758.869
"CI",1.578125,2.34375,4259.944
"CI",1.512939453125,2.3095703125,7459.918
"CI",1.69677734375,2.53515625,5409.061
"CI",1.630126953125,2.396484375,5889.033
"CI",1.539306640625,2.37109375,5672.059
"CI",1.578857421875,2.3408203125,5291.91
"CI",1.66015625,2.498046875,5086.059
"CI",1.616943359375,2.48828125,6444.689
"CI",1.779541015625,2.658203125,8132.506
"CI",1.578125,2.375,4934.944
"CI",1.767822265625,2.59375,7560.335
"CI",1.6689453125,2.5478515625,8924.788
"CI",1.495361328125,2.3720703125,7805.868
"CI",1.460205078125,2.251953125,6481.402
"CI",1.29149533873344,2.03521842783445,7096.565
"CI",1.47265625,2.21875,7213.212
"CI",1.953857421875,2.779296875,7985.129
"CI",1.625732421875,2.3828125,6146.025
"CI",1.7216796875,2.6083984375,6030.86
"CI",1.706298828125,2.5947265625,6012.404
"CI",1.677734375,2.3916015625,6917.578
"CI",1.744384765625,2.5859375,5479.61
"CI",1.71875,2.421875,7530.118
"CI",1.536376953125,2.365234375,5332.346
"CI",1.7568359375,2.61328125,5702.032
"CI",1.525390625,2.2705078125,6501.792
"CI",1.742919921875,2.5556640625,6292.509
"CI",1.58544921875,2.466796875,7258.684
"CI",1.624267578125,2.4189453125,4715.027
"CI",1.73486328125,2.4208984375,8832.695
"CI",1.78466796875,2.6201171875,5329.382
"CI",1.72021484375,2.5830078125,6627.643
"CI",1.564208984375,2.306640625,4991.893
"CI",1.530517578125,2.2783203125,5391.375
"CI",1.59130859375,2.5068359375,9786.48
"CI",1.592041015625,2.505859375,8522.433
"CI",1.60302734375,2.345703125,5897.361
"CI",1.5634765625,2.3447265625,7531.491
"CI",1.533447265625,2.3125,7109.879
"CI",1.4609375,2.2021484375,6445.451
"CI",1.55615234375,2.435546875,5395.888
"CI",1.766357421875,2.6337890625,6211.505
"CI",1.779541015625,2.4990234375,6798.193
"CI",1.501220703125,2.287109375,5789.962
"CI",1.765625,2.609375,7635.036
"CI",1.53125,2.2666015625,6950.418
"CI",1.60302734375,2.25,6831.288
"CI",1.4140625,2.251953125,7509.097
"CI",1.89954402022326,2.67332922720652,8599.898
"CI",1.593505859375,2.337890625,7701.694
"CI",1.537109375,2.3486328125,7231.856
"CI",1.43896484375,2.1923828125,5927.197
"CI",1.56787109375,2.296875,6554.297
"CI",1.616943359375,2.3857421875,6428.389
"CI",1.66162109375,2.384765625,6957.284
"CI",1.586181640625,2.34375,5556.997
"CI",1.756103515625,2.705078125,6167.691
"CI",1.60888671875,2.3828125,5461.293
"CI",1.570068359375,2.4482421875,7512.402
"CI",1.6630859375,2.439453125,6708.094
"CI",1.431640625,2.1650390625,6056.367
"CI",1.5517578125,2.4287109375,6658.519
"CI",1.7626953125,2.560546875,7306.103
"CI",1.80517578125,2.6318359375,7145.234
"CI",1.672607421875,2.5185546875,5772.548
"CI",1.671875,2.3857421875,6695.526
"CI",1.555419921875,2.3818359375,4541.395
"CI",1.54443359375,2.29296875,6384.766
"CI",1.583251953125,2.3046875,8066.494
"CI",1.735595703125,2.578125,6485.062
"CI",1.587646484375,2.4052734375,5305.173
"CI",1.490966796875,2.2734375,9401.196
"CI",1.4375,2.3369140625,4382.193
"CI",1.602294921875,2.3427734375,8283.056
"CI",1.607421875,2.4013671875,5513.911
"CI",1.68359375,2.4130859375,3950.438
"CI",1.521728515625,2.3369140625,5760.862
"CI",1.83447265625,2.7607421875,6512.282
"CI",1.644775390625,2.384765625,5387.365
"CI",1.44921875,2.2646484375,4263.976
"CI",1.577392578125,2.4501953125,5330.708
"CI",1.710693359375,2.5439453125,7027.416
"CI",1.671142578125,2.5283203125,7216.197
"CI",1.52978515625,2.279296875,6352.486
"CI",1.789794921875,2.703125,7647.796
"CI",1.527587890625,2.2802734375,7177.249
"CI",1.38037109375,2.1015625,4915.01
"CI",1.71728515625,2.5205078125,7768.622
"CI",1.48291015625,2.203125,3994.373
"CI",1.8798828125,2.7568359375,5859.199
"CI",1.6044921875,2.4541015625,8747.993
"CI",1.754638671875,2.5244140625,8280.415
"CI",1.50927734375,2.220703125,3945.926
"CI",1.659423828125,2.5732421875,6996.547
"CI",1.975830078125,2.8212890625,9166.611
"CI",1.614013671875,2.375,5362.173
"CI",1.35546875,2.083984375,4617.41
"CI",1.75390625,2.5791015625,8568.211
"CI",1.867431640625,2.650390625,6701.639
"CI",1.659423828125,2.439453125,5390.529
"CI",1.67041015625,2.5478515625,6203.542
"CI",1.619140625,2.47265625,7126.255
"CI",1.65869140625,2.482421875,4148.869
"CI",1.852783203125,2.63671875,6417.807
"CI",1.3759765625,2.1181640625,7733.723
"CI",1.58837890625,2.4404296875,7424.899
"CI",1.756103515625,2.603515625,7045.64
"CI",1.827880859375,2.6240234375,6235.076
"CI",1.495361328125,2.3916015625,4830.191
"CI",1.492431640625,2.2294921875,4181.883
"CI",1.739990234375,2.61328125,7442.989
"CI",1.555419921875,2.26953125,6679.797
"CI",1.765625,2.5458984375,7510.132
"CI",1.718017578125,2.44921875,6113.791
"CI",1.614013671875,2.373046875,6150.031
"CI",1.89013671875,2.751953125,5939.165
"CI",1.709228515625,2.4736328125,6458.32
"CI",1.794921875,2.6259765625,5322.577
"CI",1.87109375,2.763671875,6679.869
"CI",1.656494140625,2.55078125,5182.24
"CI",1.659423828125,2.4892578125,4423.386
"CI",1.518798828125,2.15625,6575.037
"CI",1.666748046875,2.4794921875,8221.674
"CI",1.794921875,2.552734375,7286.833
"CI",1.55029296875,2.3466796875,6228.258
"CI",1.60302734375,2.5048828125,6994.776
"CI",1.657958984375,2.4638671875,5461.154
"CI",1.775146484375,2.625,6887.962
"CI",1.38916015625,2.08203125,7206.094
"CI",1.609619140625,2.455078125,7739.568
"CI",1.857177734375,2.7587890625,8487.538
"CI",1.370849609375,2.154296875,5749.48
"CI",1.625,2.4423828125,5662.74
"CI",1.849853515625,2.5390625,6448.585
"CI",1.6953125,2.515625,8260.906
"CI",1.80224609375,2.5615234375,6993.811
"CI",1.706298828125,2.599609375,5668.362
"CI",1.765625,2.5419921875,6896.408
"CI",1.531982421875,2.25,3669.841
"CI",1.599365234375,2.41796875,5568.188
"CI",1.614013671875,2.40234375,5271.55
"CI",1.587646484375,2.3115234375,4749.311
"CI",1.50927734375,2.4580078125,5738.83
"CI",1.49755859375,2.3173828125,4735.131
"CI",1.885009765625,2.7529296875,7469.841
"CI",1.666015625,2.53125,3804.496
"CI",1.6865234375,2.44921875,5428.402
"CI",1.81396484375,2.6201171875,4813.817
"CI",1.594970703125,2.4013671875,6432.877
"CI",1.621337890625,2.375,5682.449
"CI",1.8359375,2.697265625,5804.233
"CI",1.65576171875,2.3779296875,5219.668
"CI",1.679931640625,2.48828125,4586.698
"CI",1.8125,2.5,8057.362
"CI",1.357666015625,2.21484375,4155.673
"CI",1.5224609375,2.2578125,7791.879
"CI",1.766357421875,2.5556640625,8297.357
"CI",1.7421875,2.548828125,7712.035
"CI",1.51220703125,2.2548828125,4858.853
"CI",1.616943359375,2.48828125,5973.522
"CI",1.811767578125,2.7080078125,6223.508
"CI",1.60595703125,2.43359375,7740.128
"CI",1.622802734375,2.3603515625,7763.596
"CI",1.587646484375,2.4296875,5854.812
"CI",1.6689453125,2.478515625,5579.454
"CI",1.748046875,2.560546875,7449.394
"CI",1.9267578125,2.822265625,10496.109
"CI",1.624267578125,2.505859375,6673.414
"CI",1.354736328125,2.16796875,6017.748
"CI",1.599365234375,2.580078125,6075.122
"CI",1.476318359375,2.267578125,5357.948
"CI",1.560546875,2.3916015625,5651.427
"CI",1.771484375,2.6572265625,5825.174
"CI",1.6513671875,2.416015625,4467.507
"CI",1.841796875,2.720703125,5657.964
"CI",1.7333984375,2.5625,5834.019
"CI",1.767822265625,2.5986328125,6054.478
"CI",1.671875,2.4521484375,5301.185
"CI",1.786865234375,2.6064453125,6954.472
"CI",1.671875,2.3369140625,4465.81
"CI",1.60595703125,2.376953125,7313.741
"CI",1.29541015625,2.0009765625,7780.542
"CI",1.62646484375,2.466796875,3245.941
"CI",1.477783203125,2.2939453125,9592.529
"CI",1.43896484375,2.2041015625,5655.758
"CI",1.72021484375,2.5927734375,7162.66
