"","l","h","t"
"1",1.54826500166515,2.21012604959404,0.00600000000000023
"1",1.45140668972199,2.12419471875293,0.0069999999999979
"1",1.33973189780542,1.99010652745455,0.0069999999999979
"1",1.8322267808514,2.58134918388123,0.00600000000000023
"1",1.71975168294768,2.44594545351878,0.0140000000000029
"1",1.51747688465117,2.20329607898953,0.00600000000000023
"1",1.64052296774027,2.37820100370317,0.0189999999999984
"1",1.75239936470208,2.44575016469751,0.007000000000005
"1",1.81255907075889,2.55399011735059,0.00600000000000023
"1",1.95117822387253,2.6892206882083,0.00600000000000023
"1",1.68459593209073,2.41136999974303,0.00799999999999557
"1",1.52946645214505,2.22238588829234,0.0229999999999961
"1",1.80898993626728,2.54736157760506,0.00999999999999801
"1",1.43237748367958,2.06251733804957,0.00600000000000023
"1",1.78595634162244,2.52626772744536,0.00600000000000023
"1",2.00398531634514,2.75915665790636,0.00600000000000023
"1",1.7424071816743,2.41772364468623,0.007000000000005
"1",1.4376712455715,2.08364171606593,0.00600000000000023
"1",1.65664800488148,2.3279528743951,0.007000000000005
"1",1.66271630835661,2.3436488264806,0.00600000000000023
"1",1.41011834142158,2.07244398007794,0.0069999999999979
"1",1.43350360242415,2.07352396262348,0.00600000000000023
"1",1.58361029707863,2.26412588046822,0.00900000000000034
"1",1.48756520764749,2.18601907735598,0.00800000000000267
"1",1.61105104721199,2.31338583914573,0.00600000000000023
"1",1.7003598621526,2.40865629670643,0.00800000000000267
"1",1.51858802333466,2.17706261999185,0.00600000000000023
"1",1.92536562052361,2.63179449463244,0.00600000000000023
"1",1.78808516892771,2.48754771956365,0.00600000000000023
"1",1.52214867753789,2.1918698538871,0.00600000000000023
"1",1.68406799691342,2.41111413945286,0.00600000000000023
"1",1.45736178079105,2.12789505035556,0.00600000000000023
"1",1.7846662767003,2.51932341793834,0.00600000000000023
"1",1.68389297329282,2.4478107377236,0.00600000000000023
"1",1.63672357537153,2.33282007485686,0.00799999999999557
"1",1.80605962280516,2.53989085778202,0.00600000000000023
"1",1.62618167165931,2.31814342286969,0.0410000000000039
"1",1.54819403605148,2.19128597073546,0.00800000000000267
"1",1.71908593104985,2.42296800658304,0.0180000000000007
"1",1.7748317145034,2.52356497784444,0.00600000000000023
"1",1.80337519409947,2.49569485120726,0.0110000000000028
"1",1.50195647328247,2.2038819985909,0.00600000000000023
"1",1.58507826251569,2.27131699701214,0.00999999999999801
"1",1.64558006984933,2.34032636818863,0.0069999999999979
"1",1.62298412841673,2.29198187134852,0.00600000000000023
"1",1.63923999017707,2.28951591338837,0.0069999999999979
"1",1.72459117379071,2.48682089640872,0.00600000000000023
"1",1.69631520312895,2.4082480830911,0.00600000000000023
"1",1.84151005543141,2.64874392579859,0.007000000000005
"1",1.99850388526677,2.77999773776044,0.00600000000000023
"1",1.53603607903599,2.21825493021301,0.00600000000000023
"1",1.6748169509502,2.4059944377394,0.00800000000000267
"1",1.63862725686636,2.4272195598836,0.00600000000000023
"1",1.68309493930159,2.36151098066092,0.00600000000000023
"1",1.71737700525056,2.42339723911214,0.0069999999999979
"1",1.87899874374324,2.63108341074975,0.007000000000005
"1",1.81796490069,2.60689084994613,0.00600000000000023
"1",1.45876778365219,2.14377767793791,0.00499999999999545
"1",1.46917504818259,2.15147567091497,0.00600000000000023
"1",1.64483853161402,2.3941698787238,0.00600000000000023
"1",1.96507315575056,2.75393534836523,0.00800000000000267
"1",1.92047517944627,2.65728772732822,0.00499999999999545
"1",1.63592793667838,2.3281111539909,0.00600000000000023
"1",1.77631923538044,2.4527316814595,0.007000000000005
"1",1.90248225874605,2.57044719298799,0.007000000000005
"1",1.63967293421063,2.36429253516313,0.0069999999999979
"1",1.89766146721789,2.65415696228107,0.00600000000000023
"1",1.5914809673617,2.32831459070989,0.00600000000000023
"1",1.95820049041592,2.70025974083428,0.0069999999999979
"1",1.55807828711949,2.25795698310936,0.0110000000000028
"1",1.57889698476724,2.27260371361062,0.00600000000000023
"1",1.68751463755163,2.35313036757742,0.0069999999999979
"1",1.97843900497837,2.77399072081223,0.0189999999999984
"1",1.62511432457022,2.29102669053279,0.00500000000000256
"1",1.56222524597535,2.22700213405714,0.00900000000000034
"1",1.63100324760531,2.28337502346271,0.00600000000000023
"1",1.61476104228074,2.32714898246713,0.00500000000000256
"1",1.78307496230043,2.48886076203432,0.00600000000000023
"1",2.00499860733534,2.7327591214602,0.00600000000000023
"1",1.8595201282773,2.61860447980707,0.007000000000005
"1",1.92842681059668,2.67675409769942,0.00600000000000023
"1",1.49598386352059,2.19003934336267,0.00600000000000023
"1",1.52471433947509,2.20385210118553,0.00799999999999557
"1",1.72119175662859,2.45697780973724,0.00600000000000023
"1",1.78579004849651,2.54203409267292,0.0069999999999979
"1",1.35801046345427,2.01055921746559,0.00900000000000034
"1",1.81762410642748,2.51381581783602,0.00600000000000023
"1",1.76103351688309,2.45181908152912,0.00600000000000023
"1",1.47766060424696,2.13964977023625,0.00600000000000023
"1",1.70667990941588,2.41624680929553,0.00500000000000256
"1",1.44230863660678,2.08582452287771,0.00600000000000023
"1",1.68343315991514,2.34873137826345,0.0069999999999979
"1",1.54764600345376,2.2052488157246,0.00600000000000023
"1",1.66258536058677,2.36010079218186,0.00600000000000023
"1",1.93490345308916,2.61718900599167,0.00600000000000023
"1",1.59514251082637,2.24803916119495,0.0069999999999979
"1",1.77675016882323,2.48347862883153,0.00600000000000023
"1",1.67125522365944,2.40066291618638,0.00600000000000023
"1",1.64028900919733,2.31216680941822,0.00600000000000023
"1",1.47714790863345,2.12518126214468,0.0110000000000028
"1",1.47732216148882,2.12098930025048,0.00600000000000023
"1",1.81298548761499,2.53654748261324,0.00600000000000023
"1",1.74616284500444,2.50913110982024,0.0069999999999979
"1",1.58361209283108,2.30441798358635,0.0069999999999979
"1",1.723489337517,2.41691308562028,0.00600000000000023
"1",1.61885667468146,2.30757242302207,0.00600000000000023
"1",1.93185504317827,2.66728206197871,0.00600000000000023
"1",1.4030205758559,2.05732023545364,0.0069999999999979
"1",1.82587292513111,2.59553722246227,0.00799999999999557
