"","V1","V2","V3"
"CI",-0.999267578125,10,1469.401
"CI",-5.107421875,10,1207.887
"CI",-10,10,33.96
"CI",-0.832275390625,10,1294.22
"CI",-0.794189453125,10,1160.269
"CI",-2.906494140625,10,1178.718
"CI",-4.230712890625,10,1541.953
"CI",-9.40673828125,10,1311.872
"CI",-3.605224609375,10,1019.156
"CI",-3.783935546875,10,1025.112
"CI",-9.953125,10,1284.008
"CI",-4.018310546875,10,956.927
"CI",-7.128173828125,10,1392.781
"CI",0.018798828125,10,1253.754
"CI",-4.37646484375,10,1191.824
"CI",-3.26318359375,10,1252.258
"CI",-10,10,5.52800000000025
"CI",-4.36552721681792,2.24102776961832,2487.486
"CI",-1.0263671875,10,1063.888
"CI",-3.06396484375,10,1165.417
"CI",-3.218505859375,10,1457.871
"CI",-10,10,5.46699999999964
"CI",-1.567626953125,10,1440.683
"CI",-1.0439453125,10,1119.424
"CI",-10,10,563.045
"CI",-3.811767578125,10,642.357000000002
"CI",-3.1328125,10,1063.06
"CI",-2.31982421875,10,1616.855
"CI",-2.751220703125,10,1746.492
"CI",-1.750732421875,10,857.682999999999
"CI",-5.689697265625,10,1075.932
"CI",-3.262451171875,10,1201.329
"CI",-3.43603515625,10,1240.059
"CI",-2.060546875,10,1682.648
"CI",-5.505859375,10,1330.991
"CI",-3.28076171875,10,1425.198
"CI",-0.25,10,2053.724
"CI",-4.232177734375,10,1463.555
"CI",-4.002197265625,10,947
"CI",-6.82568359375,10,1203.73
"CI",-2.59521484375,10,1363.032
"CI",-2.6845703125,10,1148.979
"CI",-0.80078125,10,1334.078
"CI",-3.737060546875,10,1167.562
"CI",-3.44775390625,10,1108.883
"CI",-5.7841796875,10,975.903999999999
"CI",-10,10,119.072
"CI",-1.661376953125,10,1576.519
"CI",-2.54248046875,10,1659.015
"CI",-1.62109375,10,1231.604
"CI",-10,10,5.375
"CI",-4.0029296875,10,977.440000000001
"CI",-6.947998046875,10,742.924
"CI",-2.691162109375,10,1005.974
"CI",-8.733642578125,10,1264.925
"CI",-3.36865234375,10,1546.419
"CI",-4.693603515625,10,1139.552
"CI",-1.558837890625,10,1155.684
"CI",-8.9482421875,10,1303.271
"CI",1.967041015625,10,1691.147
"CI",-10,10,5.32699999999932
"CI",-1.52880859375,10,999.993
"CI",-2.877197265625,10,1048.818
"CI",-2.56884765625,10,1156.136
"CI",-8.434814453125,10,570.509
"CI",-3.91796875,10,1590.3
"CI",-5.286865234375,10,786.541999999999
"CI",-10,10,5.55100000000039
"CI",-8.343994140625,10,733.972
"CI",-2.7373046875,10,1417.679
"CI",-6.779541015625,10,1281.804
"CI",-5.89990234375,10,1275.254
"CI",-5.817138671875,10,1873.942
"CI",-3.841796875,10,1296.548
"CI",-3.6630859375,10,1463.995
"CI",-2.970947265625,10,1280.65
"CI",-2.256103515625,10,676.921
"CI",-4.564697265625,10,1372.953
"CI",-2.56591796875,9.6279296875,2122.465
"CI",-0.3349609375,10,1150.742
"CI",-10,6.13671875,1221.062
"CI",-2.150634765625,10,1009.398
"CI",-3.994140625,10,1635.478
"CI",-1.74560546875,10,1812.322
"CI",-4.000732421875,10,1187.344
"CI",-4.060791015625,10,1491.836
"CI",-3.77587890625,10,974.681
"CI",-7.29736328125,10,1566.675
"CI",-7.17724609375,10,1919.309
"CI",-9.75244140625,10,623.949000000001
"CI",-2.51318359375,10,1288.997
"CI",-7.9375,10,1783.926
"CI",1.068359375,10,1898.216
"CI",-1.52734375,10,1623.219
"CI",-3.016357421875,10,990.587
"CI",-9.376708984375,10,1771.585
"CI",-1.366943359375,10,1325.273
"CI",-3.52978515625,10,1596.491
"CI",-2.0400390625,10,1247.656
"CI",-3.066162109375,10,1536.576
"CI",-3.3466796875,10,1314.016
"CI",-3.109375,10,898.928
"CI",-6.5869140625,10,1159.301
"CI",-9.15625,10,1317.7
"CI",-9.80224609375,10,1343.795
"CI",-6.765625,10,1128.904
"CI",-6.80078125,10,1398.925
"CI",-3.203857421875,10,1077.286
"CI",-1.3486328125,9.494140625,2988.166
"CI",-3.265380859375,10,1195.338
"CI",-1.336181640625,10,1583.953
"CI",-1.93017578125,10,1214.761
