"","l","h","t"
"1",1.77371667039874,2.24064947519228,0.00700000000000145
"1",1.76697426319393,2.33881761643027,0.00700000000000145
"1",1.60432527165293,2.13868339015019,0.00700000000000145
"1",1.68516812338445,2.15276467789771,0.0069999999999979
"1",1.69206142456905,2.23371916873162,0.0069999999999979
"1",1.61514448794148,2.11002666002669,0.00800000000000267
"1",1.61257852822938,2.18739678696601,0.00800000000000267
"1",1.56877208059914,1.980643322486,0.00700000000000145
"1",1.71197340680079,2.08288079833058,0.00799999999999912
"1",1.65497368950004,2.13103729643463,0.0069999999999979
"1",1.75636161255543,2.21820331047504,0.00800000000000267
"1",1.6226415721173,2.00409756880494,0.0069999999999979
"1",1.76089956653559,2.18109208036353,0.00800000000000267
"1",1.72496439128825,2.18666092176213,0.00700000000000145
"1",1.62194525867771,2.12801751643704,0.0140000000000029
"1",1.62177073452773,2.04809833811958,0.00900000000000034
"1",1.76839384946118,2.236193235906,0.00700000000000145
"1",1.64652010203542,2.04595605220152,0.00700000000000145
"1",1.68217676172896,2.10545742926349,0.00799999999999912
"1",1.72512188695145,2.18785989389092,0.0069999999999979
"1",1.65932462806797,2.19964929322754,0.00799999999999912
"1",1.73442196605202,2.2225388981575,0.00799999999999912
"1",1.60462580062584,1.99778446734782,0.0069999999999979
"1",1.80476362073771,2.28672634933469,0.00800000000000267
"1",1.52416684907111,1.94157636282339,0.00700000000000145
"1",1.6404511597156,2.04754812391802,0.00700000000000145
"1",1.63541416867073,2.09879998546729,0.0120000000000005
"1",1.46539075006464,1.94965952603428,0.00700000000000145
"1",1.76122491567616,2.22648851612098,0.00700000000000145
"1",1.73716185194248,2.18796391448372,0.00800000000000267
"1",1.66890138218001,2.12139264686809,0.00700000000000145
"1",1.61110383160696,2.05503933837086,0.00700000000000145
"1",1.96327485563627,2.53384545940046,0.00700000000000145
"1",1.62056512968723,2.06626517281685,0.00700000000000145
"1",1.72849012265684,2.17506903467986,0.00999999999999801
"1",1.71264002416962,2.13615349534924,0.0109999999999992
"1",1.64378864348049,2.06556423546697,0.00799999999999912
"1",1.81291811842272,2.26295855102855,0.0109999999999992
"1",1.67007937030905,2.14485489780324,0.00700000000000145
"1",1.81603469946308,2.29236496386514,0.0100000000000016
"1",1.86682498863571,2.38431103929547,0.0219999999999985
"1",1.63576388671827,2.02909253334627,0.00799999999999912
"1",1.71439069477979,2.17967882818625,0.0069999999999979
"1",1.7021420071601,2.17892020417662,0.00700000000000145
"1",1.45390982241959,1.88169716649425,0.00799999999999912
"1",1.40345396515598,1.8331203972017,0.0109999999999992
"1",1.81981440922475,2.28171885091084,0.00999999999999801
"1",1.6905435415553,2.11649148296023,0.00700000000000145
"1",1.66693526627214,2.09478598537634,0.00799999999999912
"1",1.64266084684807,2.0933627985201,0.00800000000000267
"1",1.53338801821571,1.95764231259254,0.0069999999999979
"1",1.67930378811368,2.07892047043937,0.00700000000000145
"1",1.63900498387302,2.12222297904573,0.00700000000000145
"1",1.68839937485896,2.14071614516684,0.00700000000000145
"1",1.70233357864346,2.1268178273163,0.0069999999999979
"1",1.69002315673223,2.05117354305933,0.0120000000000005
"1",1.6334515375018,2.06679999889595,0.00799999999999912
"1",1.65654796678026,2.19232273187763,0.00799999999999912
"1",1.61079028823651,2.14418200457921,0.00800000000000267
"1",1.50348095788882,2.03762395404541,0.00700000000000145
"1",1.74450665859992,2.187104711926,0.00799999999999912
"1",1.53249056444666,1.99735068524277,0.00600000000000023
"1",1.64248821259084,2.08647732622043,0.00700000000000145
"1",1.69008482880641,2.15271516691615,0.00800000000000267
"1",1.61255165855434,2.11295016914172,0.00799999999999912
"1",1.74696226448583,2.1779428741632,0.00799999999999912
"1",1.75659132413504,2.18564902230824,0.00700000000000145
"1",1.69960840302225,2.17734065635094,0.00799999999999912
"1",1.78225765698322,2.22773006254658,0.00799999999999912
"1",1.53919814261586,2.02119831084547,0.0100000000000016
"1",1.49623489820331,1.96253520112889,0.0110000000000028
"1",1.85224853683663,2.31626606344531,0.0109999999999992
"1",1.75568113615469,2.23568544516997,0.00800000000000267
"1",1.44710663428418,1.82560070830724,0.00799999999999912
"1",1.69197416909507,2.16037424871529,0.00999999999999801
"1",1.70400541267435,2.15585048974582,0.0109999999999992
"1",1.67447373290023,2.04425246196262,0.00700000000000145
"1",1.66530264058144,2.135173067358,0.00799999999999912
"1",1.6273805716534,2.05773781806568,0.0100000000000016
"1",1.57297344326417,2.00836374150341,0.00700000000000145
