"","l","h","t"
"1",-0.779850003493183,2.10430431865241,0.0760000000000005
"1",-3.05454160932082,4.24062686241684,0.0990000000000002
"1",-3.05719702580579,-0.372819806920908,0.280000000000001
"1",-1.70860026201833,3.16246244707883,0.279999999999998
"1",-2.04720143611748,3.07473793637117,0.181999999999999
"1",-2.23080179962877,3.65355251998523,0.311
"1",-3.48616501746829,1.21651955801593,0.288
"1",-4.73613990292064,2.5423039631388,0.161000000000001
"1",-0.834755434021429,3.54949211330465,0.151999999999997
"1",-1.81197859445638,1.17629909450937,0.263999999999999
"1",-2.45993804930975,0.343442823894166,0.152999999999999
"1",-2.64605951730225,4.08462306830782,0.0600000000000023
"1",-2.61160861886063,4.13826311929418,0.0899999999999999
"1",-2.01450491940766,1.89625172398332,0.0579999999999998
"1",-2.75529394509117,3.83756621453502,0.0590000000000011
"1",-1.29007163411723,5.48961538646667,0.280000000000001
"1",-3.92522739410605,3.30526070156816,0.166
"1",-3.41028066029083,1.74474262487375,0.0579999999999998
"1",-1.96479862049791,3.38703841540724,0.288
"1",-0.550527192565617,4.3426877089097,0.0680000000000014
"1",-1.84880591143554,0.395253177205604,0.0889999999999986
"1",-1.70898562082821,1.44429838665332,0.152000000000001
"1",-3.86192326363143,3.38309250874939,0.0609999999999999
"1",-1.82562646071406,4.63899561403075,0.0740000000000016
"1",3.13764283177138,6.37413983523559,0.0559999999999974
"1",-0.630457946119619,0.811780947119647,0.161000000000001
"1",-0.996800740984038,4.47837123321333,0.303000000000001
"1",-3.06255382082371,2.06021179185912,0.163999999999998
"1",-0.75793199845985,3.01614908047457,0.102
"1",-3.9067736147696,3.26844763319023,0.306000000000001
"1",-3.2188749070367,-1.7159266047838,0.070999999999998
"1",-1.72153082761261,3.57151518383019,0.0630000000000006
"1",-1.79755358094569,2.3791331541046,0.110999999999999
"1",0.124350605452079,1.79423847749707,0.273999999999999
"1",-0.925449798374202,2.43185175882408,0.298
"1",-2.38246582107733,1.93456185076279,0.304
"1",-3.39188393560538,3.70321973104555,0.093
"1",-3.72614686432565,3.32440700244644,0.172000000000001
