"","l","h","t"
"1",1.06328497751051,1.97887077799667,0.00499999999999901
"1",1.0245183459024,2.02887805801994,0.00500000000000256
"1",0.677382398878843,1.81468125396522,0.00500000000000256
"1",1.23804173040032,2.62359672009806,0.00499999999999901
"1",1.08387079497352,2.38092946399492,0.00499999999999901
"1",0.881574753293468,2.51214990822275,0.00499999999999901
"1",1.06094441714508,2.48962745001444,0.00500000000000256
"1",0.602937649483704,3.07785048574085,0.00600000000000023
"1",1.43952266254168,2.94386306348807,0.00600000000000023
"1",1.38786857771698,2.49571398962797,0.00499999999999901
"1",0.654412474525983,2.03014445039042,0.00500000000000256
"1",0.848805677481391,2.12172221752785,0.00499999999999901
"1",1.27294850739074,2.47200945367938,0.00600000000000023
"1",1.02455475673686,2.02473969600107,0.00600000000000023
"1",1.54466963170764,2.55531685053289,0.0069999999999979
"1",1.40225862190498,2.72707005824477,0.00600000000000023
"1",1.21760829801135,2.02455376507596,0.00600000000000023
"1",0.903745795107069,2.13835413821208,0.00600000000000023
"1",1.19690283420849,2.12600059380591,0.00600000000000023
"1",0.689612481235938,2.30260024457665,0.00600000000000023
"1",0.873966106004133,2.05096427794814,0.00499999999999901
"1",1.05697383884024,2.15808952821116,0.00499999999999901
"1",0.902625437260305,2.06425269060836,0.00499999999999901
"1",0.77242847100048,2.38079922119062,0.00600000000000023
"1",0.684748265158104,1.6436273208353,0.00600000000000023
"1",1.13249161480329,2.40053033439145,0.00600000000000023
"1",0.979212835059957,2.18692273526184,0.00700000000000145
"1",1.46660954518978,2.54366145080383,0.00600000000000023
"1",0.62863386373843,1.70829596289055,0.00900000000000034
"1",0.81953722669505,1.93049648585931,0.00499999999999901
"1",1.54189431396665,3.44504524433943,0.00500000000000256
"1",0.625110972627728,1.81302024698423,0.00700000000000145
"1",1.15788094103737,2.40874509291854,0.00600000000000023
"1",1.39205443179852,2.71483953775856,0.00999999999999801
"1",1.08644424055017,2.66089511928667,0.00600000000000023
"1",1.00074565528412,2.45463261850488,0.00499999999999901
"1",0.974395285868366,2.29162919860241,0.00600000000000023
