"","100","200","500","1000","2000"
"0.1",0.975,0.971,0.984,0.994,0.994
"0.3",0.983,0.979,0.992,0.994,0.994
"1",0.99,0.986,0.989,0.994,0.996
"3",0.987,0.99,0.992,0.99,0.994
"10",0.981,0.983,0.99,0.991,0.995
