"","100","200","500","1000","2000"
"0.1",0.754,0.778,0.803,0.769,0.796
"0.3",0.81,0.814,0.795,0.767,0.813
"1",0.831,0.807,0.807,0.824,0.862
"3",0.847,0.859,0.898,0.924,0.934
"10",0.906,0.933,0.946,0.947,0.946
