"100","200","300","400","500","1000","2000","5000"
"1",0.801,0.942,0.997,1,1,1,1,1
"0.8",0.852,0.98,0.999,1,1,1,1,1
"0.6",0.903,0.994,1,1,1,1,1,1
"0.4",0.851,1,1,1,1,1,1,1
"0.2",0.287,0.875,0.992,1,1,1,1,1
"0.1",0.07,0.294,0.486,0.65,0.791,0.995,1,1
"0",0.026,0.04,0.045,0.054,0.063,0.053,0.094,0.122
