"100","200","300","400","500","1000","2000","5000"
"1",0,0,0,0.001,0.07,0.636,0.821,0.993
"0.8",0,0,0,0.001,0.024,0.66,0.876,1
"0.6",0,0,0,0,0.004,0.544,0.918,1
"0.4",0,0,0,0,0,0.213,0.949,1
"0.2",0,0,0,0,0,0.019,0.387,0.999
"0.1",0,0,0,0,0,0.007,0.091,0.557
"0",0,0,0,0,0,0.005,0.032,0.045
