"","V1","V2","V3","V4"
"result.1",0.312499990625,0.749999995,0.33062499080625,0.757070307719922
"result.2",0.33062499080625,0.749999995,0.3487499909875,0.757070307719922
"result.3",0.3487499909875,0.749999995,0.36687499116875,0.757070307719922
"result.4",0.36687499116875,0.749999995,0.38499999135,0.757070307719922
"result.5",0.38499999135,0.749999995,0.40312499153125,0.757070307719922
"result.6",0.40312499153125,0.749999995,0.4212499917125,0.757070307719922
"result.7",0.4212499917125,0.749999995,0.43937499189375,0.757070307719922
"result.8",0.43937499189375,0.749999995,0.457499992075,0.757070307719922
"result.9",0.457499992075,0.749999995,0.47562499225625,0.757070307719922
"result.10",0.47562499225625,0.749999995,0.4937499924375,0.757070307719922
"result.11",0.4937499924375,0.749999995,0.51187499261875,0.757070307719922
"result.12",0.51187499261875,0.749999995,0.5299999928,0.757070307719922
"result.13",0.5299999928,0.749999995,0.54812499298125,0.757070307719922
"result.35",0.9287499967875,0.749999995,0.94687499696875,0.757070307719922
"result.36",0.94687499696875,0.749999995,0.96499999715,0.757070307719922
"result.37",0.96499999715,0.749999995,0.98312499733125,0.757070307719922
"result.38",0.98312499733125,0.749999995,1.0012499975125,0.757070307719922
"result.39",1.0012499975125,0.749999995,1.01937499769375,0.757070307719922
"result.40",1.01937499769375,0.749999995,1.037499997875,0.757070307719922
"result.101",0.312499990625,0.757070307719922,0.33062499080625,0.764140620439844
"result.102",0.33062499080625,0.757070307719922,0.3487499909875,0.764140620439844
"result.103",0.3487499909875,0.757070307719922,0.36687499116875,0.764140620439844
"result.104",0.36687499116875,0.757070307719922,0.38499999135,0.764140620439844
"result.105",0.38499999135,0.757070307719922,0.40312499153125,0.764140620439844
"result.106",0.40312499153125,0.757070307719922,0.4212499917125,0.764140620439844
"result.107",0.4212499917125,0.757070307719922,0.43937499189375,0.764140620439844
"result.108",0.43937499189375,0.757070307719922,0.457499992075,0.764140620439844
"result.109",0.457499992075,0.757070307719922,0.47562499225625,0.764140620439844
"result.110",0.47562499225625,0.757070307719922,0.4937499924375,0.764140620439844
"result.111",0.4937499924375,0.757070307719922,0.51187499261875,0.764140620439844
"result.112",0.51187499261875,0.757070307719922,0.5299999928,0.764140620439844
"result.113",0.5299999928,0.757070307719922,0.54812499298125,0.764140620439844
"result.135",0.9287499967875,0.757070307719922,0.94687499696875,0.764140620439844
"result.136",0.94687499696875,0.757070307719922,0.96499999715,0.764140620439844
"result.137",0.96499999715,0.757070307719922,0.98312499733125,0.764140620439844
"result.138",0.98312499733125,0.757070307719922,1.0012499975125,0.764140620439844
"result.139",1.0012499975125,0.757070307719922,1.01937499769375,0.764140620439844
"result.140",1.01937499769375,0.757070307719922,1.037499997875,0.764140620439844
"result.141",1.037499997875,0.757070307719922,1.05562499805625,0.764140620439844
"result.201",0.312499990625,0.764140620439844,0.33062499080625,0.771210933159766
"result.202",0.33062499080625,0.764140620439844,0.3487499909875,0.771210933159766
"result.203",0.3487499909875,0.764140620439844,0.36687499116875,0.771210933159766
"result.204",0.36687499116875,0.764140620439844,0.38499999135,0.771210933159766
"result.205",0.38499999135,0.764140620439844,0.40312499153125,0.771210933159766
"result.206",0.40312499153125,0.764140620439844,0.4212499917125,0.771210933159766
"result.207",0.4212499917125,0.764140620439844,0.43937499189375,0.771210933159766
"result.208",0.43937499189375,0.764140620439844,0.457499992075,0.771210933159766
"result.209",0.457499992075,0.764140620439844,0.47562499225625,0.771210933159766
"result.210",0.47562499225625,0.764140620439844,0.4937499924375,0.771210933159766
"result.211",0.4937499924375,0.764140620439844,0.51187499261875,0.771210933159766
"result.212",0.51187499261875,0.764140620439844,0.5299999928,0.771210933159766
"result.213",0.5299999928,0.764140620439844,0.54812499298125,0.771210933159766
"result.214",0.54812499298125,0.764140620439844,0.5662499931625,0.771210933159766
"result.234",0.91062499660625,0.764140620439844,0.9287499967875,0.771210933159766
"result.235",0.9287499967875,0.764140620439844,0.94687499696875,0.771210933159766
"result.236",0.94687499696875,0.764140620439844,0.96499999715,0.771210933159766
"result.237",0.96499999715,0.764140620439844,0.98312499733125,0.771210933159766
"result.238",0.98312499733125,0.764140620439844,1.0012499975125,0.771210933159766
"result.239",1.0012499975125,0.764140620439844,1.01937499769375,0.771210933159766
"result.240",1.01937499769375,0.764140620439844,1.037499997875,0.771210933159766
"result.241",1.037499997875,0.764140620439844,1.05562499805625,0.771210933159766
"result.242",1.05562499805625,0.764140620439844,1.0737499982375,0.771210933159766
"result.301",0.312499990625,0.771210933159766,0.33062499080625,0.778281245879687
"result.302",0.33062499080625,0.771210933159766,0.3487499909875,0.778281245879687
"result.303",0.3487499909875,0.771210933159766,0.36687499116875,0.778281245879687
"result.304",0.36687499116875,0.771210933159766,0.38499999135,0.778281245879687
"result.305",0.38499999135,0.771210933159766,0.40312499153125,0.778281245879687
"result.306",0.40312499153125,0.771210933159766,0.4212499917125,0.778281245879687
"result.307",0.4212499917125,0.771210933159766,0.43937499189375,0.778281245879687
"result.308",0.43937499189375,0.771210933159766,0.457499992075,0.778281245879687
"result.309",0.457499992075,0.771210933159766,0.47562499225625,0.778281245879687
"result.310",0.47562499225625,0.771210933159766,0.4937499924375,0.778281245879687
"result.311",0.4937499924375,0.771210933159766,0.51187499261875,0.778281245879687
"result.312",0.51187499261875,0.771210933159766,0.5299999928,0.778281245879687
"result.313",0.5299999928,0.771210933159766,0.54812499298125,0.778281245879687
"result.314",0.54812499298125,0.771210933159766,0.5662499931625,0.778281245879687
"result.329",0.8199999957,0.771210933159766,0.83812499588125,0.778281245879687
"result.334",0.91062499660625,0.771210933159766,0.9287499967875,0.778281245879687
"result.335",0.9287499967875,0.771210933159766,0.94687499696875,0.778281245879687
"result.336",0.94687499696875,0.771210933159766,0.96499999715,0.778281245879687
"result.337",0.96499999715,0.771210933159766,0.98312499733125,0.778281245879687
"result.338",0.98312499733125,0.771210933159766,1.0012499975125,0.778281245879687
"result.339",1.0012499975125,0.771210933159766,1.01937499769375,0.778281245879687
"result.340",1.01937499769375,0.771210933159766,1.037499997875,0.778281245879687
"result.341",1.037499997875,0.771210933159766,1.05562499805625,0.778281245879687
